position,variable,label,primary_category,tags,missing_pct,missingness_band,model1_status,model1_available_pre_outcome,model1_leakage_risk,model1_leakage_basis,model1_reason,model2_status,model2_available_pre_outcome,model2_leakage_risk,model2_leakage_basis,model2_reason,source_url
54,fin13f_1,Received money back after sending to the wrong number,FINANCIAL,FINANCIAL;HIGH_MISSING;POSSIBLE_LEAKAGE;EXCLUDED,91.1513,HIGH_75_PLUS,EXCLUDE_HIGH_MISSING,CONDITIONAL,HIGH,Financial behaviour or transaction measured during/after the outcome period.,91.15% structurally missing; insufficient standalone coverage.,EXCLUDE_HIGH_MISSING,CONDITIONAL,DIRECT,"Target component, target-screened item, or close reconstruction of the outcome.",91.15% structurally missing; insufficient standalone coverage.,https://microdata.worldbank.org/catalog/7900/variable/F1/V54?name=fin13f_1
55,fin14a,Reason for no mobile money account: too far,FINANCIAL,FINANCIAL;HIGH_MISSING;POSSIBLE_LEAKAGE;EXCLUDED,69.7431,HIGH_50_TO_74,EXCLUDE_HIGH_MISSING,CONDITIONAL,HIGH,Financial behaviour or transaction measured during/after the outcome period.,69.74% structurally missing; insufficient standalone coverage.,EXCLUDE_HIGH_MISSING,CONDITIONAL,DIRECT,"Target component, target-screened item, or close reconstruction of the outcome.",69.74% structurally missing; insufficient standalone coverage.,https://microdata.worldbank.org/catalog/7900/variable/F1/V55?name=fin14a
56,fin14b,Reason for no mobile money account: too expensive,FINANCIAL,FINANCIAL;HIGH_MISSING;POSSIBLE_LEAKAGE;EXCLUDED,69.7431,HIGH_50_TO_74,EXCLUDE_HIGH_MISSING,CONDITIONAL,HIGH,Financial behaviour or transaction measured during/after the outcome period.,69.74% structurally missing; insufficient standalone coverage.,EXCLUDE_HIGH_MISSING,CONDITIONAL,DIRECT,"Target component, target-screened item, or close reconstruction of the outcome.",69.74% structurally missing; insufficient standalone coverage.,https://microdata.worldbank.org/catalog/7900/variable/F1/V56?name=fin14b
57,fin14c,Reason for no mobile money account: lack documentation,FINANCIAL,FINANCIAL;HIGH_MISSING;POSSIBLE_LEAKAGE;EXCLUDED,69.7431,HIGH_50_TO_74,EXCLUDE_HIGH_MISSING,CONDITIONAL,HIGH,Financial behaviour or transaction measured during/after the outcome period.,69.74% structurally missing; insufficient standalone coverage.,EXCLUDE_HIGH_MISSING,CONDITIONAL,DIRECT,"Target component, target-screened item, or close reconstruction of the outcome.",69.74% structurally missing; insufficient standalone coverage.,https://microdata.worldbank.org/catalog/7900/variable/F1/V57?name=fin14c
58,fin14d,Reason for no mobile money account: lack of money,FINANCIAL,FINANCIAL;HIGH_MISSING;POSSIBLE_LEAKAGE;EXCLUDED,69.7431,HIGH_50_TO_74,EXCLUDE_HIGH_MISSING,CONDITIONAL,HIGH,Financial behaviour or transaction measured during/after the outcome period.,69.74% structurally missing; insufficient standalone coverage.,EXCLUDE_HIGH_MISSING,CONDITIONAL,DIRECT,"Target component, target-screened item, or close reconstruction of the outcome.",69.74% structurally missing; insufficient standalone coverage.,https://microdata.worldbank.org/catalog/7900/variable/F1/V58?name=fin14d
59,fin14e,Reason for no mobile money account: worried about security,FINANCIAL,FINANCIAL;HIGH_MISSING;POSSIBLE_LEAKAGE;EXCLUDED,69.7431,HIGH_50_TO_74,EXCLUDE_HIGH_MISSING,CONDITIONAL,HIGH,Financial behaviour or transaction measured during/after the outcome period.,69.74% structurally missing; insufficient standalone coverage.,EXCLUDE_HIGH_MISSING,CONDITIONAL,DIRECT,"Target component, target-screened item, or close reconstruction of the outcome.",69.74% structurally missing; insufficient standalone coverage.,https://microdata.worldbank.org/catalog/7900/variable/F1/V59?name=fin14e
60,fin15,Used an agent or someone else to make a mobile money payment,FINANCIAL,FINANCIAL;HIGH_MISSING;POSSIBLE_LEAKAGE;EXCLUDED,69.7431,HIGH_50_TO_74,EXCLUDE_HIGH_MISSING,CONDITIONAL,HIGH,Financial behaviour or transaction measured during/after the outcome period.,69.74% structurally missing; insufficient standalone coverage.,EXCLUDE_HIGH_MISSING,CONDITIONAL,DIRECT,"Target component, target-screened item, or close reconstruction of the outcome.",69.74% structurally missing; insufficient standalone coverage.,https://microdata.worldbank.org/catalog/7900/variable/F1/V60?name=fin15
61,fin16,Ever had a mobile money account,FINANCIAL,FINANCIAL;HIGH_MISSING;POSSIBLE_LEAKAGE;EXCLUDED,69.7431,HIGH_50_TO_74,EXCLUDE_HIGH_MISSING,CONDITIONAL,HIGH,Financial behaviour or transaction measured during/after the outcome period.,69.74% structurally missing; insufficient standalone coverage.,EXCLUDE_HIGH_MISSING,CONDITIONAL,DIRECT,"Target component, target-screened item, or close reconstruction of the outcome.",69.74% structurally missing; insufficient standalone coverage.,https://microdata.worldbank.org/catalog/7900/variable/F1/V61?name=fin16
62,fin17a,Saved at a bank or similar financial institution,FINANCIAL,FINANCIAL;POSSIBLE_LEAKAGE;EXCLUDED,0.0,NONE,EXCLUDE_POST_OUTCOME,NO,HIGH,Financial behaviour or transaction measured during/after the outcome period.,Financial behaviour or transaction measured during/after the outcome period.,EXCLUDE_POST_OUTCOME,NO,HIGH,Financial behaviour or transaction measured during/after the outcome period.,Financial behaviour or transaction measured during/after the outcome period.,https://microdata.worldbank.org/catalog/7900/variable/F1/V62?name=fin17a
63,fin17b,Saved using a mobile money account,FINANCIAL,FINANCIAL;POSSIBLE_LEAKAGE;EXCLUDED,35.5852,MODERATE_25_TO_49,EXCLUDE_POST_OUTCOME,NO,HIGH,Financial behaviour or transaction measured during/after the outcome period.,Financial behaviour or transaction measured during/after the outcome period.,EXCLUDE_POST_OUTCOME,NO,HIGH,Financial behaviour or transaction measured during/after the outcome period.,Financial behaviour or transaction measured during/after the outcome period.,https://microdata.worldbank.org/catalog/7900/variable/F1/V63?name=fin17b
64,fin17c,Saved using a savings club or a person outside the family,FINANCIAL,FINANCIAL;POSSIBLE_LEAKAGE;EXCLUDED,0.0,NONE,EXCLUDE_POST_OUTCOME,NO,HIGH,Financial behaviour or transaction measured during/after the outcome period.,Financial behaviour or transaction measured during/after the outcome period.,EXCLUDE_POST_OUTCOME,NO,HIGH,Financial behaviour or transaction measured during/after the outcome period.,Financial behaviour or transaction measured during/after the outcome period.,https://microdata.worldbank.org/catalog/7900/variable/F1/V64?name=fin17c
65,fin17d,Formal saving frequency,FINANCIAL,FINANCIAL;HIGH_MISSING;POSSIBLE_LEAKAGE;EXCLUDED,61.3701,HIGH_50_TO_74,EXCLUDE_HIGH_MISSING,CONDITIONAL,HIGH,Financial behaviour or transaction measured during/after the outcome period.,61.37% structurally missing; insufficient standalone coverage.,EXCLUDE_HIGH_MISSING,CONDITIONAL,HIGH,Financial behaviour or transaction measured during/after the outcome period.,61.37% structurally missing; insufficient standalone coverage.,https://microdata.worldbank.org/catalog/7900/variable/F1/V65?name=fin17d
66,fin17e,Received interest,FINANCIAL,FINANCIAL;HIGH_MISSING;POSSIBLE_LEAKAGE;EXCLUDED,61.3701,HIGH_50_TO_74,EXCLUDE_HIGH_MISSING,CONDITIONAL,HIGH,Financial behaviour or transaction measured during/after the outcome period.,61.37% structurally missing; insufficient standalone coverage.,EXCLUDE_HIGH_MISSING,CONDITIONAL,HIGH,Financial behaviour or transaction measured during/after the outcome period.,61.37% structurally missing; insufficient standalone coverage.,https://microdata.worldbank.org/catalog/7900/variable/F1/V66?name=fin17e
67,fin17f,Saved formally for old age,FINANCIAL,FINANCIAL;HIGH_MISSING;POSSIBLE_LEAKAGE;EXCLUDED,61.3701,HIGH_50_TO_74,EXCLUDE_HIGH_MISSING,CONDITIONAL,HIGH,Financial behaviour or transaction measured during/after the outcome period.,61.37% structurally missing; insufficient standalone coverage.,EXCLUDE_HIGH_MISSING,CONDITIONAL,HIGH,Financial behaviour or transaction measured during/after the outcome period.,61.37% structurally missing; insufficient standalone coverage.,https://microdata.worldbank.org/catalog/7900/variable/F1/V67?name=fin17f
68,fin18,Saved for any reason,FINANCIAL,FINANCIAL;HIGH_MISSING;POSSIBLE_LEAKAGE;EXCLUDED,51.2845,HIGH_50_TO_74,EXCLUDE_HIGH_MISSING,CONDITIONAL,HIGH,Financial behaviour or transaction measured during/after the outcome period.,51.28% structurally missing; insufficient standalone coverage.,EXCLUDE_HIGH_MISSING,CONDITIONAL,HIGH,Financial behaviour or transaction measured during/after the outcome period.,51.28% structurally missing; insufficient standalone coverage.,https://microdata.worldbank.org/catalog/7900/variable/F1/V68?name=fin18
69,fin19,Made regular payments to insurance agent or company,FINANCIAL,FINANCIAL;POSSIBLE_LEAKAGE;EXCLUDED,0.0,NONE,EXCLUDE_POST_OUTCOME,NO,HIGH,Financial behaviour or transaction measured during/after the outcome period.,Financial behaviour or transaction measured during/after the outcome period.,EXCLUDE_POST_OUTCOME,NO,HIGH,Financial behaviour or transaction measured during/after the outcome period.,Financial behaviour or transaction measured during/after the outcome period.,https://microdata.worldbank.org/catalog/7900/variable/F1/V69?name=fin19
70,fin20,Applied for a loan using a mobile phone,FINANCIAL,FINANCIAL;POSSIBLE_LEAKAGE;EXCLUDED,0.0,NONE,EXCLUDE_POST_OUTCOME,NO,HIGH,Financial behaviour or transaction measured during/after the outcome period.,Financial behaviour or transaction measured during/after the outcome period.,EXCLUDE_POST_OUTCOME,NO,HIGH,Financial behaviour or transaction measured during/after the outcome period.,Financial behaviour or transaction measured during/after the outcome period.,https://microdata.worldbank.org/catalog/7900/variable/F1/V70?name=fin20
71,fin21,Received loan applied for using a mobile phone,FINANCIAL,FINANCIAL;HIGH_MISSING;POSSIBLE_LEAKAGE;EXCLUDED,65.9372,HIGH_50_TO_74,EXCLUDE_HIGH_MISSING,CONDITIONAL,HIGH,Financial behaviour or transaction measured during/after the outcome period.,65.94% structurally missing; insufficient standalone coverage.,EXCLUDE_HIGH_MISSING,CONDITIONAL,HIGH,Financial behaviour or transaction measured during/after the outcome period.,65.94% structurally missing; insufficient standalone coverage.,https://microdata.worldbank.org/catalog/7900/variable/F1/V71?name=fin21
72,fin22a,Borrowed from a formal bank or similar financial institution,FINANCIAL,FINANCIAL;POSSIBLE_LEAKAGE;EXCLUDED,0.0,NONE,EXCLUDE_POST_OUTCOME,NO,HIGH,Financial behaviour or transaction measured during/after the outcome period.,Financial behaviour or transaction measured during/after the outcome period.,EXCLUDE_POST_OUTCOME,NO,HIGH,Financial behaviour or transaction measured during/after the outcome period.,Financial behaviour or transaction measured during/after the outcome period.,https://microdata.worldbank.org/catalog/7900/variable/F1/V72?name=fin22a
73,fin22a_1,Borrowed from a mobile money provider,FINANCIAL,FINANCIAL;POSSIBLE_LEAKAGE;EXCLUDED,35.5852,MODERATE_25_TO_49,EXCLUDE_POST_OUTCOME,NO,HIGH,Financial behaviour or transaction measured during/after the outcome period.,Financial behaviour or transaction measured during/after the outcome period.,EXCLUDE_POST_OUTCOME,NO,HIGH,Financial behaviour or transaction measured during/after the outcome period.,Financial behaviour or transaction measured during/after the outcome period.,https://microdata.worldbank.org/catalog/7900/variable/F1/V73?name=fin22a_1
74,fin22b,Borrowed from friends or family,FINANCIAL,FINANCIAL;POSSIBLE_LEAKAGE;EXCLUDED,0.0,NONE,EXCLUDE_POST_OUTCOME,NO,HIGH,Financial behaviour or transaction measured during/after the outcome period.,Financial behaviour or transaction measured during/after the outcome period.,EXCLUDE_POST_OUTCOME,NO,HIGH,Financial behaviour or transaction measured during/after the outcome period.,Financial behaviour or transaction measured during/after the outcome period.,https://microdata.worldbank.org/catalog/7900/variable/F1/V74?name=fin22b
75,fin22c,Borrowed from an informal savings club,FINANCIAL,FINANCIAL;HIGH_MISSING;POSSIBLE_LEAKAGE;EXCLUDED,74.215,HIGH_50_TO_74,EXCLUDE_HIGH_MISSING,CONDITIONAL,HIGH,Financial behaviour or transaction measured during/after the outcome period.,74.22% structurally missing; insufficient standalone coverage.,EXCLUDE_HIGH_MISSING,CONDITIONAL,HIGH,Financial behaviour or transaction measured during/after the outcome period.,74.22% structurally missing; insufficient standalone coverage.,https://microdata.worldbank.org/catalog/7900/variable/F1/V75?name=fin22c
76,fin22d,Borrowed for health or medical purposes,FINANCIAL,FINANCIAL;POSSIBLE_LEAKAGE;EXCLUDED,0.0,NONE,EXCLUDE_POST_OUTCOME,NO,HIGH,Financial behaviour or transaction measured during/after the outcome period.,Financial behaviour or transaction measured during/after the outcome period.,EXCLUDE_POST_OUTCOME,NO,HIGH,Financial behaviour or transaction measured during/after the outcome period.,Financial behaviour or transaction measured during/after the outcome period.,https://microdata.worldbank.org/catalog/7900/variable/F1/V76?name=fin22d
77,fin22e,Borrowed to start or operate a business,FINANCIAL,FINANCIAL;POSSIBLE_LEAKAGE;EXCLUDED,0.0,NONE,EXCLUDE_POST_OUTCOME,NO,HIGH,Financial behaviour or transaction measured during/after the outcome period.,Financial behaviour or transaction measured during/after the outcome period.,EXCLUDE_POST_OUTCOME,NO,HIGH,Financial behaviour or transaction measured during/after the outcome period.,Financial behaviour or transaction measured during/after the outcome period.,https://microdata.worldbank.org/catalog/7900/variable/F1/V77?name=fin22e
78,fin22f,Purchased food on credit,FINANCIAL,FINANCIAL;POSSIBLE_LEAKAGE;EXCLUDED,0.0,NONE,EXCLUDE_POST_OUTCOME,NO,HIGH,Financial behaviour or transaction measured during/after the outcome period.,Financial behaviour or transaction measured during/after the outcome period.,EXCLUDE_POST_OUTCOME,NO,HIGH,Financial behaviour or transaction measured during/after the outcome period.,Financial behaviour or transaction measured during/after the outcome period.,https://microdata.worldbank.org/catalog/7900/variable/F1/V78?name=fin22f
79,fin22g,Used a credit card,FINANCIAL,FINANCIAL;HIGH_MISSING;POSSIBLE_LEAKAGE;EXCLUDED,93.53,HIGH_75_PLUS,EXCLUDE_HIGH_MISSING,CONDITIONAL,HIGH,Financial behaviour or transaction measured during/after the outcome period.,93.53% structurally missing; insufficient standalone coverage.,EXCLUDE_HIGH_MISSING,CONDITIONAL,HIGH,Financial behaviour or transaction measured during/after the outcome period.,93.53% structurally missing; insufficient standalone coverage.,https://microdata.worldbank.org/catalog/7900/variable/F1/V79?name=fin22g
80,fin22h,Paid off all credit card balances in full by their due date,FINANCIAL,FINANCIAL;HIGH_MISSING;POSSIBLE_LEAKAGE;EXCLUDED,96.3844,HIGH_75_PLUS,EXCLUDE_HIGH_MISSING,CONDITIONAL,HIGH,Financial behaviour or transaction measured during/after the outcome period.,96.38% structurally missing; insufficient standalone coverage.,EXCLUDE_HIGH_MISSING,CONDITIONAL,HIGH,Financial behaviour or transaction measured during/after the outcome period.,96.38% structurally missing; insufficient standalone coverage.,https://microdata.worldbank.org/catalog/7900/variable/F1/V80?name=fin22h
81,fin23,Borrowed money for any reason,FINANCIAL,FINANCIAL;HIGH_MISSING;POSSIBLE_LEAKAGE;EXCLUDED,61.5604,HIGH_50_TO_74,EXCLUDE_HIGH_MISSING,CONDITIONAL,HIGH,Financial behaviour or transaction measured during/after the outcome period.,61.56% structurally missing; insufficient standalone coverage.,EXCLUDE_HIGH_MISSING,CONDITIONAL,HIGH,Financial behaviour or transaction measured during/after the outcome period.,61.56% structurally missing; insufficient standalone coverage.,https://microdata.worldbank.org/catalog/7900/variable/F1/V81?name=fin23
82,fin24,Main source of emergency money in 30 days,FINANCIAL,FINANCIAL;POSSIBLE_LEAKAGE;EXCLUDED,0.0,NONE,EXCLUDE_POST_OUTCOME,NO,HIGH,Financial behaviour or transaction measured during/after the outcome period.,Financial behaviour or transaction measured during/after the outcome period.,EXCLUDE_POST_OUTCOME,NO,HIGH,Financial behaviour or transaction measured during/after the outcome period.,Financial behaviour or transaction measured during/after the outcome period.,https://microdata.worldbank.org/catalog/7900/variable/F1/V82?name=fin24
83,fin24a,Difficulty of emergency funds in 30 days,FINANCIAL,FINANCIAL;POSSIBLE_LEAKAGE;EXCLUDED,25.785,MODERATE_25_TO_49,EXCLUDE_POST_OUTCOME,NO,HIGH,Financial behaviour or transaction measured during/after the outcome period.,Financial behaviour or transaction measured during/after the outcome period.,EXCLUDE_POST_OUTCOME,NO,HIGH,Financial behaviour or transaction measured during/after the outcome period.,Financial behaviour or transaction measured during/after the outcome period.,https://microdata.worldbank.org/catalog/7900/variable/F1/V83?name=fin24a
84,fin24b,How long household could cover expenses if main source of income was lost,FINANCIAL,FINANCIAL;POSSIBLE_LEAKAGE;EXCLUDED,0.0,NONE,EXCLUDE_POST_OUTCOME,NO,HIGH,Financial behaviour or transaction measured during/after the outcome period.,Financial behaviour or transaction measured during/after the outcome period.,EXCLUDE_POST_OUTCOME,NO,HIGH,Financial behaviour or transaction measured during/after the outcome period.,Financial behaviour or transaction measured during/after the outcome period.,https://microdata.worldbank.org/catalog/7900/variable/F1/V84?name=fin24b
85,fin24c,Experienced a natural disaster or severe weather event,SOCIOECONOMIC,SOCIOECONOMIC;CANDIDATE_MODEL_1;CANDIDATE_MODEL_2,0.0,NONE,CANDIDATE_CONDITIONAL,CONDITIONAL,LOW,Exogenous shock measure; temporal overlap should be retained as a limitation.,"Relevant pre-outcome characteristic, but routing, temporal overlap, or structural missingness requires Phase 3 handling.",CANDIDATE_CONDITIONAL,CONDITIONAL,LOW,Exogenous shock measure; temporal overlap should be retained as a limitation.,"Relevant pre-outcome characteristic, but routing, temporal overlap, or structural missingness requires Phase 3 handling.",https://microdata.worldbank.org/catalog/7900/variable/F1/V85?name=fin24c
86,fin24d1,"Natural disaster in the past three years: Income lost or unable to work, by self",FINANCIAL,FINANCIAL;HIGH_MISSING;POSSIBLE_LEAKAGE;EXCLUDED,55.471,HIGH_50_TO_74,EXCLUDE_HIGH_MISSING,CONDITIONAL,HIGH,Financial behaviour or transaction measured during/after the outcome period.,55.47% structurally missing; insufficient standalone coverage.,EXCLUDE_HIGH_MISSING,CONDITIONAL,HIGH,Financial behaviour or transaction measured during/after the outcome period.,55.47% structurally missing; insufficient standalone coverage.,https://microdata.worldbank.org/catalog/7900/variable/F1/V86?name=fin24d1
87,fin24d2,Natural disaster in the past three years: Damage to home or livestock,FINANCIAL,FINANCIAL;HIGH_MISSING;POSSIBLE_LEAKAGE;EXCLUDED,55.471,HIGH_50_TO_74,EXCLUDE_HIGH_MISSING,CONDITIONAL,HIGH,Financial behaviour or transaction measured during/after the outcome period.,55.47% structurally missing; insufficient standalone coverage.,EXCLUDE_HIGH_MISSING,CONDITIONAL,HIGH,Financial behaviour or transaction measured during/after the outcome period.,55.47% structurally missing; insufficient standalone coverage.,https://microdata.worldbank.org/catalog/7900/variable/F1/V87?name=fin24d2
88,fin24d3,Natural disaster in the past three years: Unable to access or use their account,FINANCIAL,FINANCIAL;HIGH_MISSING;POSSIBLE_LEAKAGE;EXCLUDED,66.2226,HIGH_50_TO_74,EXCLUDE_HIGH_MISSING,CONDITIONAL,HIGH,Financial behaviour or transaction measured during/after the outcome period.,66.22% structurally missing; insufficient standalone coverage.,EXCLUDE_HIGH_MISSING,CONDITIONAL,HIGH,Financial behaviour or transaction measured during/after the outcome period.,66.22% structurally missing; insufficient standalone coverage.,https://microdata.worldbank.org/catalog/7900/variable/F1/V88?name=fin24d3
89,fin25e1,Use a mobile phone or card to pay for household cleaning supplies,FINANCIAL,FINANCIAL;POSSIBLE_LEAKAGE;EXCLUDED,24.548,LOW_UNDER_25,EXCLUDE_POST_OUTCOME,NO,HIGH,Financial behaviour or transaction measured during/after the outcome period.,Financial behaviour or transaction measured during/after the outcome period.,EXCLUDE_POST_OUTCOME,NO,HIGH,Financial behaviour or transaction measured during/after the outcome period.,Financial behaviour or transaction measured during/after the outcome period.,https://microdata.worldbank.org/catalog/7900/variable/F1/V89?name=fin25e1
90,fin25e2,Used a mobile phone or a card to pay for an in-store purchase,FINANCIAL,FINANCIAL;POSSIBLE_LEAKAGE;EXCLUDED,24.548,LOW_UNDER_25,EXCLUDE_POST_OUTCOME,NO,HIGH,Financial behaviour or transaction measured during/after the outcome period.,Financial behaviour or transaction measured during/after the outcome period.,EXCLUDE_POST_OUTCOME,NO,HIGH,Financial behaviour or transaction measured during/after the outcome period.,Financial behaviour or transaction measured during/after the outcome period.,https://microdata.worldbank.org/catalog/7900/variable/F1/V90?name=fin25e2
91,fin25e3,Frequency of digital in-store merchant payments,FINANCIAL,FINANCIAL;HIGH_MISSING;POSSIBLE_LEAKAGE;EXCLUDED,79.353,HIGH_75_PLUS,EXCLUDE_HIGH_MISSING,CONDITIONAL,HIGH,Financial behaviour or transaction measured during/after the outcome period.,79.35% structurally missing; insufficient standalone coverage.,EXCLUDE_HIGH_MISSING,CONDITIONAL,HIGH,Financial behaviour or transaction measured during/after the outcome period.,79.35% structurally missing; insufficient standalone coverage.,https://microdata.worldbank.org/catalog/7900/variable/F1/V91?name=fin25e3
92,fin25e4,Main reason for only using cash for in-store merchant payments,FINANCIAL,FINANCIAL;POSSIBLE_LEAKAGE;EXCLUDED,45.1951,MODERATE_25_TO_49,EXCLUDE_POST_OUTCOME,NO,HIGH,Financial behaviour or transaction measured during/after the outcome period.,Financial behaviour or transaction measured during/after the outcome period.,EXCLUDE_POST_OUTCOME,NO,HIGH,Financial behaviour or transaction measured during/after the outcome period.,Financial behaviour or transaction measured during/after the outcome period.,https://microdata.worldbank.org/catalog/7900/variable/F1/V92?name=fin25e4
93,fin26a,Used a mobile phone or computer to make a bill payment,FINANCIAL,FINANCIAL;POSSIBLE_LEAKAGE;EXCLUDED,24.548,LOW_UNDER_25,EXCLUDE_POST_OUTCOME,NO,HIGH,Financial behaviour or transaction measured during/after the outcome period.,Financial behaviour or transaction measured during/after the outcome period.,EXCLUDE_POST_OUTCOME,NO,HIGH,Financial behaviour or transaction measured during/after the outcome period.,Financial behaviour or transaction measured during/after the outcome period.,https://microdata.worldbank.org/catalog/7900/variable/F1/V93?name=fin26a
94,fin26b,Used a mobile phone or the internet to buy something online,FINANCIAL,FINANCIAL;POSSIBLE_LEAKAGE;EXCLUDED,24.548,LOW_UNDER_25,EXCLUDE_POST_OUTCOME,NO,HIGH,Financial behaviour or transaction measured during/after the outcome period.,Financial behaviour or transaction measured during/after the outcome period.,EXCLUDE_POST_OUTCOME,NO,HIGH,Financial behaviour or transaction measured during/after the outcome period.,Financial behaviour or transaction measured during/after the outcome period.,https://microdata.worldbank.org/catalog/7900/variable/F1/V94?name=fin26b
95,fin27,Online purchase mode of payment,FINANCIAL,FINANCIAL;HIGH_MISSING;POSSIBLE_LEAKAGE;EXCLUDED,89.3435,HIGH_75_PLUS,EXCLUDE_HIGH_MISSING,CONDITIONAL,HIGH,Financial behaviour or transaction measured during/after the outcome period.,89.34% structurally missing; insufficient standalone coverage.,EXCLUDE_HIGH_MISSING,CONDITIONAL,HIGH,Financial behaviour or transaction measured during/after the outcome period.,89.34% structurally missing; insufficient standalone coverage.,https://microdata.worldbank.org/catalog/7900/variable/F1/V95?name=fin27
96,fh1,Made a domestic remittance,FINANCIAL,FINANCIAL;POSSIBLE_LEAKAGE;EXCLUDED,0.0,NONE,EXCLUDE_POST_OUTCOME,NO,HIGH,Financial behaviour or transaction measured during/after the outcome period.,Financial behaviour or transaction measured during/after the outcome period.,EXCLUDE_POST_OUTCOME,NO,HIGH,Financial behaviour or transaction measured during/after the outcome period.,Financial behaviour or transaction measured during/after the outcome period.,https://microdata.worldbank.org/catalog/7900/variable/F1/V96?name=fh1
97,fin28,Made a digital domestic remittance,FINANCIAL,FINANCIAL;HIGH_MISSING;POSSIBLE_LEAKAGE;EXCLUDED,53.6632,HIGH_50_TO_74,EXCLUDE_HIGH_MISSING,CONDITIONAL,HIGH,Financial behaviour or transaction measured during/after the outcome period.,53.66% structurally missing; insufficient standalone coverage.,EXCLUDE_HIGH_MISSING,CONDITIONAL,HIGH,Financial behaviour or transaction measured during/after the outcome period.,53.66% structurally missing; insufficient standalone coverage.,https://microdata.worldbank.org/catalog/7900/variable/F1/V97?name=fin28
98,fh2,Received a domestic remittance,FINANCIAL,FINANCIAL;POSSIBLE_LEAKAGE;EXCLUDED,0.0,NONE,EXCLUDE_POST_OUTCOME,NO,HIGH,Financial behaviour or transaction measured during/after the outcome period.,Financial behaviour or transaction measured during/after the outcome period.,EXCLUDE_POST_OUTCOME,NO,HIGH,Financial behaviour or transaction measured during/after the outcome period.,Financial behaviour or transaction measured during/after the outcome period.,https://microdata.worldbank.org/catalog/7900/variable/F1/V98?name=fh2
99,fin29,Received a digital domestic remittance,FINANCIAL,FINANCIAL;POSSIBLE_LEAKAGE;EXCLUDED,47.2883,MODERATE_25_TO_49,EXCLUDE_POST_OUTCOME,NO,HIGH,Financial behaviour or transaction measured during/after the outcome period.,Financial behaviour or transaction measured during/after the outcome period.,EXCLUDE_POST_OUTCOME,NO,HIGH,Financial behaviour or transaction measured during/after the outcome period.,Financial behaviour or transaction measured during/after the outcome period.,https://microdata.worldbank.org/catalog/7900/variable/F1/V99?name=fin29
100,fh2a,Received an international remittance payment,FINANCIAL,FINANCIAL;POSSIBLE_LEAKAGE;EXCLUDED,0.0,NONE,EXCLUDE_POST_OUTCOME,NO,HIGH,Financial behaviour or transaction measured during/after the outcome period.,Financial behaviour or transaction measured during/after the outcome period.,EXCLUDE_POST_OUTCOME,NO,HIGH,Financial behaviour or transaction measured during/after the outcome period.,Financial behaviour or transaction measured during/after the outcome period.,https://microdata.worldbank.org/catalog/7900/variable/F1/V100?name=fh2a
101,fin30,Made a utility payment,FINANCIAL,FINANCIAL;POSSIBLE_LEAKAGE;EXCLUDED,0.0,NONE,EXCLUDE_POST_OUTCOME,NO,HIGH,Financial behaviour or transaction measured during/after the outcome period.,Financial behaviour or transaction measured during/after the outcome period.,EXCLUDE_POST_OUTCOME,NO,HIGH,Financial behaviour or transaction measured during/after the outcome period.,Financial behaviour or transaction measured during/after the outcome period.,https://microdata.worldbank.org/catalog/7900/variable/F1/V101?name=fin30
102,fin31a,Made a utility payment using a bank account,FINANCIAL,FINANCIAL;POSSIBLE_LEAKAGE;EXCLUDED,49.8573,MODERATE_25_TO_49,EXCLUDE_POST_OUTCOME,NO,HIGH,Financial behaviour or transaction measured during/after the outcome period.,Financial behaviour or transaction measured during/after the outcome period.,EXCLUDE_POST_OUTCOME,NO,HIGH,Financial behaviour or transaction measured during/after the outcome period.,Financial behaviour or transaction measured during/after the outcome period.,https://microdata.worldbank.org/catalog/7900/variable/F1/V102?name=fin31a
103,fin31b,Made a utility payment using a mobile phone,FINANCIAL,FINANCIAL;POSSIBLE_LEAKAGE;EXCLUDED,49.8573,MODERATE_25_TO_49,EXCLUDE_POST_OUTCOME,NO,HIGH,Financial behaviour or transaction measured during/after the outcome period.,Financial behaviour or transaction measured during/after the outcome period.,EXCLUDE_POST_OUTCOME,NO,HIGH,Financial behaviour or transaction measured during/after the outcome period.,Financial behaviour or transaction measured during/after the outcome period.,https://microdata.worldbank.org/catalog/7900/variable/F1/V103?name=fin31b
104,fin31c,Made a utility payment by handing cash to a bank agent or staff,FINANCIAL,FINANCIAL;HIGH_MISSING;POSSIBLE_LEAKAGE;EXCLUDED,95.1475,HIGH_75_PLUS,EXCLUDE_HIGH_MISSING,CONDITIONAL,HIGH,Financial behaviour or transaction measured during/after the outcome period.,95.15% structurally missing; insufficient standalone coverage.,EXCLUDE_HIGH_MISSING,CONDITIONAL,HIGH,Financial behaviour or transaction measured during/after the outcome period.,95.15% structurally missing; insufficient standalone coverage.,https://microdata.worldbank.org/catalog/7900/variable/F1/V104?name=fin31c
